input_code,num_sims,budget,delay,budget_used,lp_budget,obj_value,lp_obj_value,gm_value,lp_runtime,lp_work,input_file,int_filename,network
PH3_S100_0,100,3,3,11,3.000000000000001,11.92,12.406399134198937,6,14.842435121536257,34.377740491693736,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I3-B3.csv,PH
PH4_S100_0,100,3,3,11,3.000000000000001,11.92,12.406399134198937,6,15.843482971191406,34.377740491693736,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I3-B3.csv,PH
PH1_S100_0,100,5,3,12,5.0,10.06,10.091055555555387,6,2.8439269065856934,3.239022727846475,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I3-B5.csv,PH
PH2_S100_0,100,5,3,12,5.0,8.93,8.925857142856998,6,1.0425610542297363,0.7533948051818798,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I3-B5.csv,PH
PH3_S100_0,100,5,3,14,5.0,10.72,10.710999999999814,6,7.242602109909058,9.544878692813944,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I3-B5.csv,PH
PH4_S100_0,100,5,3,14,5.0,10.72,10.710999999999814,6,6.368435144424439,9.544878692813944,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I3-B5.csv,PH
PH1_S100_0,100,7,3,12,7.0,10.04,10.025333333333164,6,2.415092945098877,1.961795013713301,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I3-B7.csv,PH
PH2_S100_0,100,7,3,12,7.0,8.9,8.892833333333188,6,0.9260368347167968,0.7163930665092213,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I3-B7.csv,PH
PH3_S100_0,100,7,3,14,6.999999999999999,10.52,10.422999999999828,6,5.596222877502441,4.949598808842838,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I3-B7.csv,PH
PH4_S100_0,100,7,3,14,6.999999999999999,10.52,10.422999999999828,6,5.526548862457275,4.949598808842838,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I3-B7.csv,PH
PH1_S100_0,100,9,3,12,8.666666666666666,10.01,10.009999999999833,6,2.338330030441284,1.8762831265089104,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I3-B9.csv,PH
PH2_S100_0,100,9,3,12,8.283333333333333,8.88,8.879999999999855,6,1.017078876495361,0.6760882480250221,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I3-B9.csv,PH
PH3_S100_0,100,9,3,13,9.0,10.35,10.336999999999824,6,5.174458026885986,3.905260654103491,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I3-B9.csv,PH
PH4_S100_0,100,9,3,13,9.0,10.35,10.336999999999824,6,4.399089097976685,3.905260654103491,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I3-B9.csv,PH
PH1_S100_0,100,1,6,4,1.0,29.8,27.03470238095352,6,4.157181978225708,3.074560148507125,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I6-B1.csv,PH
PH2_S100_0,100,1,6,4,1.0,23.4,20.94893772893808,6,3.47914981842041,2.4623863937406654,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I6-B1.csv,PH
PH3_S100_0,100,1,6,6,1.0000000000000002,48.58,45.029503968254176,6,17.200977087020874,10.583657909323565,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I6-B1.csv,PH
PH4_S100_0,100,1,6,6,1.0000000000000002,48.58,45.029503968254176,6,18.18141484260559,10.583657909323565,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I6-B1.csv,PH
PH1_S100_0,100,3,6,12,3.0,20.03,20.085983360389964,6,4.3033599853515625,7.677298872634019,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I6-B3.csv,PH
PH2_S100_0,100,3,6,11,3.000000000000001,15.06,15.13522912087886,6,3.001260995864868,3.8942063665818254,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I6-B3.csv,PH
PH3_S100_0,100,3,6,13,3.0,24.58,25.483864370749167,6,18.967160940170288,11.840628980847988,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I6-B3.csv,PH
PH4_S100_0,100,3,6,13,3.0,24.58,25.483864370749167,6,18.253507137298584,11.840628980847988,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I6-B3.csv,PH
PH1_S100_0,100,5,6,13,5.000000000000001,18.95,18.955629629629804,6,2.829176187515259,1.848073175345924,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I6-B5.csv,PH
PH2_S100_0,100,5,6,13,4.999999999999999,14.46,14.453166666666409,6,1.722545146942139,1.187314797726973,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I6-B5.csv,PH
PH3_S100_0,100,5,6,16,5.0,21.3,21.218809523810048,6,8.657494068145752,12.107729539759651,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I6-B5.csv,PH
PH4_S100_0,100,5,6,16,5.0,21.3,21.218809523810048,6,7.50054407119751,12.107729539759651,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I6-B5.csv,PH
PH1_S100_0,100,7,6,13,7.0,18.64,18.666666666666792,6,2.370224952697754,1.650602187824714,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I6-B7.csv,PH
PH2_S100_0,100,7,6,14,7.0,14.31,14.302999999999738,6,1.4672019481658936,1.1726776360376594,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I6-B7.csv,PH
PH3_S100_0,100,7,6,16,7.000000000000001,20.41,20.19816666666702,6,6.378979206085205,7.727814472522517,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I6-B7.csv,PH
PH4_S100_0,100,7,6,16,7.000000000000001,20.41,20.19816666666702,6,5.808698892593384,7.727814472522517,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I6-B7.csv,PH
